	texto	texto_modificado
1	"0	se necesitan pensiones dignas a los adultos mayores, ya que no alcanza el costo de vida tan alto en que que vivimos"	necesitar pensión digno adulto mayor  alcanzar costo vida alto vivir
2	"1	el acceso a la salud sea de calidad, con diagnosticos que generen confianza no debiendo ir a santiago para conseguir confianza. altos costos de los servicios."	acceso salud calidad  diagnostico generar confianza santiago conseguir confianza  alto costo servicio
3	"2	""conprender que el trabajo es una """"actividad"""" y no un """"lugar físico"""", a partir de ello, la incorporación de la flexibilidad laboral permite generar mayor motivación."	conprender trabajo   actividad     lugar físico    partir  incorporación flexibilidad laboral permitir generar mayor motivación
4	"junto con ello, asimilar a trabajadores honorarios como aquellos que cuentan con cto indefinido y no como trabajadores de 2° categori"""	junto  asimilar trabajador honorario aquel contar cto indefinido trabajador ° categori
5	"3	""- más especialistas en los consultorios, son escasos lo que lleva a horas de espera interminables"	especialista consultorio  escaso llevar hora espera interminable
6	-para realizarse exámenes de urgencia, es igual de tardía que la atención de especialistas, esperando meses o años.	para realizar exámen urgencia  igual tardía atención especialista  esperar mes año
7	"-la atención de los médicos o sus equipos es de mala calidad e irrespetuosa """	la atención médico equipo malo calidad irrespetuoso
8	"4	hay que poner ojo en la educación de los jóvenes no los ven capaces de mantener un país una vez que crezcan"	poner ojo educación joven ver capaz mantener país vez crecer
9	"5	la salud en chile es muy mala y todos lo sabemos, hay que poner ma atencion"	salud chile malo saber  poner ma atención
10	"6	hay gente que ha trabajado toda su vida y luego sed muere por las migajas de dinero"	gente trabajar vida luego sed morir migaja dinero
11	"7	""falta de especialistas(medicos)"	falta especialistas medico
12	falta de inversion en el area.	falta inversión área
13	listas de espera enfermos	lista espera enfermo
14	el sistema de espera no es eficiente.	sistema espera eficiente
15	mal trato del personal.	mal trato personal
